ID_Venta,Fecha,ID_Cliente,ID_Producto,Canal,Estado,Unidades,Precio_Unitario,Descuento,Costo_Unitario,Costo_Envio
V04160,2024-10-30,C001,P010,E-commerce,Confirmada,4,35.94,0.1,17.56,26.24
V02372,2025-05-29,C055,P005,E-commerce,Confirmada,6,99.6,0.1,52.85,37.68
V03157,2024-12-02,C011,P010,E-commerce,Confirmada,11,35.5,0.1,17.83,40.57
V00079,2024-09-16,C040,P008,Tienda fisica,Confirmada,4,86.67,0.1,47.57,3.43
V04426,2024-07-20,C015,P002,E-commerce,Confirmada,2,462.3,0.15,272.12,25.87
V04694,2025-01-11,C022,P004,Tienda fisica,Confirmada,5,29.88,0.0,14.76,1.93
V02520,2025-10-14,C004,P010,Tienda fisica,Confirmada,1,36.7,0.0,19.43,2.85
V02445,2024-03-01,C025,P008,Tienda fisica,Confirmada,1,83.84,0.1,48.21,2.56
V02664,2025-07-28,C021,P005,E-commerce,Confirmada,6,101.8,0.0,52.6,26.75
V04665,2024-10-07,C002,P004,E-commerce,Confirmada,  8 ,  28.39 ,0.05,13.32,  36.32 
V00719,2025-08-26,C030,P004,E-commerce,Confirmada,5,29.88,0.0,14.78,34.55
V00334,2024-08-20,C039,P010,E-commerce,Confirmada,1,35.87,0.1,18.09,12.74
V02614,2025-11-20,C002,P007,E-commerce,Confirmada,1,129.39,0.15,67.67,12.46
V02831,2024-04-11,C024,P006,E-commerce,Confirmada,1,65.45,0.05,35.99,21.53
V03326,2025-08-12,C022,P002,E-commerce,Confirmada,2,475.0,0.05,299.89,23.7
V02145,2024-05-11,C033,P006,Tienda fisica,Confirmada,5,66.38,0.0,34.75,1.27
V01027,2024-05-18,C050,P007,E-commerce,Confirmada,1,121.99,0.1,64.05,22.58
V03728,2025-05-20,C006,P009,Tienda fisica,Confirmada,3,138.27,0.0,83.25,0.53
V00311,2025-10-30,C009,P009,Tienda fisica,Confirmada,3,138.31,0.1,82.93,1.37
V00360,2025-11-15,C030,P005,E-commerce,Confirmada,8,102.41,0.05,51.35,27.91
V03485,2025-06-24,C040,P009,E-commerce,Confirmada,2,140.0,0.0,81.24,20.6
V03832,2024-11-06,C010,P007,Tienda fisica,Confirmada,2,120.22,0.0,62.64,1.32
V04210,2024-12-23,C015,P002,Tienda fisica,Confirmada,4,448.27,0.0,276.97,2.79
V03278,2025-06-26,C029,P006,Tienda fisica,Confirmada,6,70.57,0.1,38.65,1.99
V03124,2024-11-28,C025,P008,Tienda fisica,Confirmada,6,85.94,0.0,47.12,2.93
V02160,2025-04-16,C001,P006,E-commerce,Confirmada,7,70.83,0.0,38.59,47.05
V00565,2025-11-23,C041,P010,E-commerce,Confirmada,  3 ,  36.59 ,0.0,19.2,  13.36 
V02919,2024-04-25,C019,P004,Tienda fisica,Confirmada,2,28.39,0.0,13.29,1.65
V01032,2024-04-27,C056,P005,Tienda fisica,Confirmada,10,94.1,0.0,48.3,1.94
V03603,2024-09-10,C011,P004,Tienda fisica,Confirmada,7,28.71,0.0,13.46,3.74
V00971,2025-06-03,C056,P007,E-commerce,Confirmada,9,130.72,0.05,68.6,40.99
V01523,2025-06-12,C011,P002,E-commerce,Confirmada,3,474.28,0.08,298.4,23.29
V01991,2025-11-12,C055,P004,Tienda fisica,Confirmada,4,30.36,0.05,14.41,2.22
V02496,2025-07-03,C009,P006,Tienda fisica,Confirmada,9,68.81,0.0,38.33,2.65
V03883,2025-12-27,C016,P010,Tienda fisica,Confirmada,3,37.82,0.0,19.48,1.97
V02468,2025-10-14,C035,P008,E-commerce,Confirmada,14,91.52,0.0,52.91,51.71
V05239,2024-03-07,C026,P010,Tienda fisica,Anulada,1,35.18,0.0,17.99,3.35
V02570,2024-07-27,C036,P009,Tienda fisica,Confirmada,1,133.62,0.0,76.37,0.21
V04233,2025-12-20,C023,P004,E-commerce,Confirmada,3,29.47,0.05,14.51,17.23
V01849,2024-09-09,C015,P009,E-commerce,Confirmada,1,129.88,0.1,76.48,21.08
V04862,2025-05-01,C015,P006,Tienda fisica,Confirmada,4,68.54,0.1,38.21,3.18
V04547,2025-09-21,C043,P006,Tienda fisica,Confirmada,9,70.77,0.0,38.72,3.35
V00281,2025-09-14,C006,P002,E-commerce,Confirmada,2,478.92,0.0,301.16,26.62
V04703,2025-06-13,C010,P010,Tienda fisica,Confirmada,  10 ,  36.77 ,0.05,19.28,  3.09 
V01976,2024-07-14,C032,P001,Tienda fisica,Confirmada,8,1230.52,0.0,747.4,2.3
V04603,2024-02-16,C025,P007,Tienda fisica,Confirmada,3,122.52,0.1,64.85,0.63
V04736,2024-05-14,C055,P010,Tienda fisica,Confirmada,1,34.45,0.0,17.61,3.65
V02573,2025-12-22,C033,P007,E-commerce,Confirmada,6,128.42,0.1,70.09,32.19
V02552,2024-04-07,C040,P004,E-commerce,Confirmada,2,28.35,0.0,13.65,21.86
V03104,2024-01-03,C055,P009,E-commerce,Confirmada,21,129.44,0.05,75.14,81.28
V00447,2025-07-12,C022,P005,Tienda fisica,Confirmada,9,99.71,0.0,51.23,0.35
V04840,2025-10-28,C031,P010,E-commerce,Confirmada,3,36.47,0.0,19.69,22.89
V03843,2024-02-18,C011,P005,Tienda fisica,Confirmada,6,97.81,0.0,47.28,1.15
V04471,2025-08-10,C033,P002,E-commerce,Confirmada,4,485.54,0.15,294.53,23.64
V04320,2025-06-18,C031,P008,E-commerce,Confirmada,2,89.47,0.0,52.92,27.96
V00903,2024-09-01,C025,P007,Tienda fisica,Confirmada,2,121.06,0.0,64.37,0.97
V01223,2025-02-22,C023,P010,Tienda fisica,Confirmada,1,36.43,0.0,19.13,0.26
V01380,2025-09-29,C010,P002,E-commerce,Confirmada,9,488.79,0.0,297.04,41.59
V01450,2025-09-29,C006,P003,Tienda fisica,Confirmada,6,1747.08,0.0,1240.9,0.85
V04091,2025-10-27,C010,P002,E-commerce,Confirmada,1,472.6,0.0,291.02,20.5
V00980,2025-02-17,C005,P006,Tienda fisica,Confirmada,  1 ,  70.12 ,0.0,37.72,  2.7 
V03034,2025-03-06,C001,P008,Tienda fisica,Confirmada,2,89.21,0.05,51.51,3.83
V05190,2024-11-10,C016,P004,Tienda fisica,Confirmada,6,27.69,0.0,13.32,2.91
V04984,2025-05-28,C060,P002,Tienda fisica,Confirmada,1,471.11,0.05,295.53,1.79
V03325,2025-10-11,C021,P007,E-commerce,Confirmada,2,129.77,0.0,69.39,27.13
V02820,2024-03-19,C056,P010,E-commerce,Confirmada,3,34.4,0.0,18.09,23.46
V02047,2024-11-07,C034,P006,Tienda fisica,Confirmada,6,64.32,0.0,36.03,0.78
V02087,2025-12-05,C031,P009,Tienda fisica,Confirmada,3,136.18,0.0,82.02,0.3
V00504,2024-05-24,C025,P005,Tienda fisica,Confirmada,10,96.07,0.0,47.4,1.02
V04806,2025-10-19,C028,P009,E-commerce,Confirmada,7,139.95,0.0,84.01,28.39
V01016,2025-05-23,C014,P005,E-commerce,Confirmada,5,98.86,0.05,51.38,27.99
V02258,2025-06-04,C009,P008,Tienda fisica,Confirmada,3,91.19,0.0,51.28,3.97
V05198,2025-08-21,C026,P005,E-commerce,Confirmada,4,102.82,0.08,52.49,38.96
V05037,2025-10-28,C020,P004,Tienda fisica,Confirmada,3,30.03,0.05,14.7,1.54
V02341,2024-12-19,C060,P006,E-commerce,Confirmada,5,65.41,0.0,35.59,20.88
V04836,2024-10-08,C024,P010,E-commerce,Confirmada,3,35.09,0.05,18.12,19.48
V03837,2024-11-28,C032,P008,Tienda fisica,Confirmada,1,84.63,0.0,48.46,3.33
V04065,2024-10-24,C055,P010,E-commerce,Confirmada,  1 ,  35.87 ,0.05,18.03,  27.12 
V01868,2024-06-07,C050,P004,E-commerce,Confirmada,7,28.65,0.0,13.47,25.76
V02403,2024-07-16,C054,P004,E-commerce,Confirmada,1,27.7,0.15,13.35,27.44
V00034,2025-11-06,C060,P002,E-commerce,Confirmada,8,477.62,0.15,295.92,46.56
V03864,2024-11-23,C041,P004,Tienda fisica,Confirmada,7,27.85,0.0,13.68,3.31
V01098,2025-12-03,C024,P004,E-commerce,Confirmada,6,29.47,0.0,14.51,44.54
V01934,2025-05-01,C040,P009,Tienda fisica,Confirmada,5,139.5,0.0,83.86,3.55
V04801,2024-10-22,C047,P004,E-commerce,Confirmada,8,28.48,0.08,13.67,25.89
V03810,2025-05-01,C040,P004,Tienda fisica,Confirmada,11,29.84,0.0,14.31,2.86
V03461,2025-11-30,C028,P002,Tienda fisica,Confirmada,3,485.96,0.1,298.04,3.65
V04360,2024-03-23,C026,P004,Tienda fisica,Confirmada,4,27.63,0.1,13.23,0.11
V04996,2024-06-10,C006,P010,Tienda fisica,Confirmada,4,35.97,0.0,17.6,0.99
V01542,2024-04-10,C030,P010,Tienda fisica,Confirmada,5,35.85,0.0,17.85,2.54
V02634,2024-08-04,C036,P007,E-commerce,Confirmada,2,121.03,0.0,62.66,21.55
V03644,2025-12-05,C034,P007,E-commerce,Confirmada,1,129.66,0.1,67.97,15.96
V00893,2024-12-23,C008,P007,E-commerce,Confirmada,2,117.83,0.0,62.93,23.79
V00615,2024-11-13,C001,P006,E-commerce,Confirmada,5,64.06,0.08,35.57,25.69
V04997,2025-09-20,C041,P005,Tienda fisica,Confirmada,  10 ,  101.94 ,0.0,52.71,  3.24 
V03097,2024-10-26,C010,P001,Tienda fisica,Confirmada,6,1234.55,0.0,744.53,2.94
V03166,2024-07-03,C020,P001,Tienda fisica,Confirmada,3,1207.31,0.0,730.96,0.16
V03246,2024-10-15,C006,P008,E-commerce,Confirmada,2,84.34,0.0,48.19,17.61
V00232,2024-05-23,C005,P008,E-commerce,Confirmada,1,86.35,0.0,47.69,22.86
V04037,2024-07-23,C031,P004,Tienda fisica,Confirmada,8,28.42,0.0,13.33,1.16
V02711,2025-03-31,C044,P004,E-commerce,Confirmada,8,29.86,0.0,14.72,33.12
V02437,2025-03-13,C053,P005,E-commerce,Confirmada,7,100.0,0.15,52.71,29.85
V04534,2025-12-28,C017,P003,Tienda fisica,Confirmada,2,1795.73,0.05,1224.62,0.34
V01788,2025-05-30,C011,P006,Tienda fisica,Confirmada,5,68.73,0.0,39.1,3.98
V05112,2025-10-20,C004,P008,E-commerce,Confirmada,4,88.97,0.1,52.22,17.21
V02196,2025-10-23,C032,P002,Tienda fisica,Confirmada,2,481.32,0.0,295.7,1.23
V03453,2025-08-18,C051,P003,E-commerce,Confirmada,11,1714.61,0.0,1194.72,47.96
V05109,2025-12-25,C006,P004,E-commerce,Confirmada,11,29.2,0.0,14.29,45.53
V00386,2025-12-21,C045,P007,E-commerce,Confirmada,4,129.87,0.1,68.32,22.9
V00680,2025-07-27,C036,P009,E-commerce,Confirmada,1,139.92,0.0,84.16,17.06
V04296,2024-09-28,C006,P004,E-commerce,Confirmada,3,27.57,0.0,13.47,32.21
V03218,2024-08-19,C030,P007,Tienda fisica,Confirmada,  2 ,  123.17 ,0.0,62.36,  0.93 
V02366,2025-04-19,C046,P009,Tienda fisica,Confirmada,3,141.83,0.0,82.24,3.72
V02871,2024-10-08,C010,P002,Tienda fisica,Confirmada,2,463.25,0.0,273.32,3.26
V01459,2024-08-09,C045,P004,E-commerce,Confirmada,2,27.74,0.0,13.23,19.82
V00855,2025-12-11,C039,P001,E-commerce,Confirmada,3,1254.14,0.0,815.65,30.05
V04884,2024-12-09,C035,P005,Tienda fisica,Confirmada,5,94.66,0.0,48.44,3.0
V01989,2024-08-15,C052,P008,E-commerce,Confirmada,6,86.79,0.0,47.77,38.14
V00678,2025-01-19,C018,P009,Tienda fisica,Confirmada,5,138.76,0.0,82.39,2.97
V04979,2025-05-25,C041,P002,E-commerce,Confirmada,5,476.18,0.0,298.56,26.78
V05246,2024-12-07,C030,P009,Tienda fisica,Confirmada,,131.13,0.05,76.22,1.51
V04353,2024-01-08,C056,P010,E-commerce,Confirmada,3,34.66,0.08,18.02,15.55
V04735,2025-12-20,C004,P009,E-commerce,Confirmada,5,140.21,0.05,84.1,32.18
V04746,2024-01-22,C015,P009,E-commerce,Confirmada,1,128.43,0.1,74.63,19.38
V04196,2025-09-06,C009,P009,E-commerce,Confirmada,2,141.82,0.0,82.5,17.31
V04200,2024-01-12,C010,P010,E-commerce,Confirmada,2,35.97,0.0,17.8,22.0
V00952,2025-12-18,C021,P010,Tienda fisica,Confirmada,1,37.27,0.0,19.38,3.63
V00196,2024-06-04,C050,P010,Tienda fisica,Confirmada,2,34.52,0.05,18.1,1.9
V04032,2024-08-12,C054,P004,Tienda fisica,Confirmada,  8 ,  27.74 ,0.0,13.2,  0.58 
V03195,2024-01-18,C051,P008,E-commerce,Confirmada,1,84.94,0.0,48.87,20.02
V02098,2025-02-26,C047,P006,E-commerce,Confirmada,10,70.46,0.0,38.58,28.84
V03981,2024-04-25,C051,P009,Tienda fisica,Confirmada,7,129.82,0.05,76.91,3.49
V04778,2025-10-16,C002,P005,E-commerce,Confirmada,6,101.01,0.15,52.45,24.65
V01145,2024-09-25,C025,P008,Tienda fisica,Confirmada,2,87.5,0.0,47.72,1.39
V01021,2025-12-13,C035,P010,E-commerce,Confirmada,3,38.09,0.05,19.32,24.21
V04658,2025-01-30,C060,P007,E-commerce,Confirmada,1,127.97,0.1,68.83,27.34
V00813,2025-12-27,C033,P010,E-commerce,Confirmada,2,37.53,0.0,19.5,19.63
V05153,2024-10-31,C046,P004,Tienda fisica,Confirmada,10,28.06,0.0,13.45,0.79
V04451,2025-06-28,C053,P010,Tienda fisica,Confirmada,1,38.17,0.0,19.64,1.71
V02852,2025-07-04,C007,P005,E-commerce,Confirmada,8,102.94,0.1,52.09,36.24
V02909,2024-08-09,C007,P001,E-commerce,Confirmada,10,1210.9,0.0,731.29,36.39
V01442,2024-01-24,C015,P007,Tienda fisica,Confirmada,3,120.76,0.1,63.19,2.41
V00137,2024-09-23,C045,P010,Tienda fisica,Confirmada,6,35.21,0.0,17.53,0.32
V02950,2024-03-01,C053,P004,E-commerce,Confirmada,4,28.05,0.15,13.18,30.75
V01627,2025-08-19,C010,P001,Tienda fisica,Confirmada,3,1304.09,0.0,818.32,2.77
V04102,2025-04-13,C012,P006,E-commerce,Confirmada,  5 ,  69.2 ,0.1,38.02,  35.52 
V02387,2024-11-14,C019,P006,Tienda fisica,Confirmada,3,65.11,0.0,35.06,0.4
V03050,2025-06-16,C021,P004,E-commerce,Confirmada,7,29.47,0.05,14.56,38.63
V01320,2025-07-29,C028,P008,E-commerce,Confirmada,1,90.52,0.1,51.22,19.38
V01159,2024-01-31,C045,P004,E-commerce,Confirmada,6,27.74,0.08,13.46,23.75
V04998,2025-07-26,C050,P009,E-commerce,Confirmada,4,137.39,0.05,83.68,30.96
V02185,2024-11-17,C055,P010,Tienda fisica,Confirmada,1,36.05,0.0,17.88,0.41
V04637,2025-07-29,C008,P003,Tienda fisica,Confirmada,1,1779.9,0.05,1235.25,0.19
V03145,2024-07-31,C057,P009,Tienda fisica,Confirmada,3,132.53,0.0,75.12,3.34
V04062,2025-02-19,C042,P008,E-commerce,Confirmada,5,91.27,0.05,52.61,25.76
V02998,2024-06-06,C038,P006,Tienda fisica,Confirmada,28,66.66,0.0,35.45,2.88
V03263,2025-09-14,C015,P009,E-commerce,Confirmada,5,137.11,0.15,83.74,26.58
V05236,2025-10-13,C052,P002,E-commerce,Anulada,4,473.77,0.0,296.27,33.73
V04098,2025-02-02,C006,P004,E-commerce,Confirmada,3,30.03,0.0,14.4,23.35
V04994,2025-12-09,C030,P005,Tienda fisica,Confirmada,11,98.97,0.0,51.52,2.22
V02398,2025-07-04,C025,P008,Tienda fisica,Confirmada,3,89.35,0.0,52.54,1.88
V03706,2025-07-19,C038,P003,Tienda fisica,Confirmada,2,1749.05,0.0,1224.56,2.5
V03465,2024-04-16,C046,P006,Tienda fisica,Confirmada,  6 ,  63.98 ,0.0,35.18,  3.85 
V00216,2024-12-16,C016,P010,Tienda fisica,Confirmada,4,35.5,0.0,17.72,0.63
V01013,2025-06-25,C027,P006,Tienda fisica,Confirmada,1,70.17,0.0,38.88,1.45
V04626,2025-05-18,C016,P007,E-commerce,Confirmada,1,126.47,0.1,70.35,19.07
V00938,2025-03-01,C002,P010,E-commerce,Confirmada,4,36.89,0.05,19.46,24.68
V04617,2025-01-19,C010,P009,E-commerce,Confirmada,4,141.9,0.0,82.15,23.55
V02612,2025-12-21,C011,P005,Tienda fisica,Confirmada,4,103.58,0.0,51.57,2.95
V02939,2024-02-25,C012,P003,E-commerce,Confirmada,4,1693.66,0.0,1133.59,27.65
V02935,2025-11-26,C036,P007,E-commerce,Confirmada,1,129.37,0.0,68.52,15.83
V02988,2025-12-19,C045,P007,Tienda fisica,Confirmada,1,125.08,0.0,67.88,2.32
V01762,2024-08-16,C039,P009,E-commerce,Confirmada,1,132.71,0.08,74.87,25.54
V01402,2024-06-12,C005,P004,Tienda fisica,Confirmada,18,28.06,0.1,13.55,2.99
V04004,2025-03-07,C019,P009,E-commerce,Confirmada,10,139.58,0.0,82.06,29.65
V00213,2024-12-14,C011,P006,Tienda fisica,Confirmada,4,65.11,0.0,35.09,2.57
V01189,2024-10-21,C031,P004,Tienda fisica,Confirmada,5,27.45,0.05,13.42,1.14
V03035,2025-11-20,C051,P004,Tienda fisica,Confirmada,6,30.41,0.0,14.85,3.16
V01084,2025-12-02,C055,P010,E-commerce,Confirmada,4,36.84,0.05,19.2,14.27
V03378,2025-03-19,C037,P009,E-commerce,Confirmada,  2 ,  139.16 ,0.0,81.61,  24.19 
V00412,2025-11-08,C056,P009,E-commerce,Confirmada,2,139.27,0.1,82.77,26.12
V01431,2025-08-17,C046,P008,Tienda fisica,Confirmada,2,88.36,0.0,52.85,1.38
V00454,2025-02-06,C030,P010,Tienda fisica,Confirmada,1,36.42,0.0,19.1,3.93
V01200,2025-07-05,C030,P008,E-commerce,Confirmada,3,92.27,0.1,53.06,21.25
V04393,2024-05-27,C052,P004,E-commerce,Confirmada,6,27.62,0.05,13.49,29.37
V01808,2024-08-02,C040,P002,Tienda fisica,Confirmada,1,447.65,0.0,270.58,1.76
V04949,2025-10-28,C004,P006,E-commerce,Confirmada,8,69.71,0.0,38.13,32.36
V05108,2024-07-27,C010,P010,E-commerce,Confirmada,1,34.37,0.05,18.21,21.45
V00348,2024-01-30,C006,P010,Tienda fisica,Confirmada,2,35.08,0.0,17.9,0.5
V03684,2025-02-27,C044,P004,E-commerce,Confirmada,4,29.83,0.08,14.8,29.48
V02311,2025-09-15,C020,P003,Tienda fisica,Confirmada,1,1791.75,0.0,1220.11,0.35
V01370,2025-11-22,C013,P007,Tienda fisica,Confirmada,2,128.33,0.0,70.01,2.36
V04514,2025-01-01,C049,P010,E-commerce,Confirmada,1,37.67,0.1,19.64,15.45
V00041,2025-06-14,C030,P010,E-commerce,Confirmada,1,36.72,0.0,19.25,14.2
V03204,2024-10-29,C015,P009,Tienda fisica,Confirmada,5,130.03,0.0,77.07,3.71
V01050,2025-07-08,C050,P009,Tienda fisica,Confirmada,3,140.96,0.1,83.77,3.63
V02203,2024-12-05,C051,P008,Tienda fisica,Confirmada,  3 ,  83.84 ,0.05,48.81,  1.16 
V01328,2025-07-07,C008,P006,E-commerce,Confirmada,8,69.66,0.0,39.2,46.92
V04805,2025-11-02,C022,P010,E-commerce,Confirmada,1,36.94,0.0,19.34,19.25
V02656,2024-06-07,C008,P007,E-commerce,Confirmada,3,117.61,0.08,62.95,18.62
V04261,2025-07-23,C036,P004,E-commerce,Confirmada,3,29.84,0.1,14.49,32.51
V02582,2025-03-12,C055,P007,Tienda fisica,Confirmada,3,127.3,0.0,68.39,3.93
V00699,2024-10-17,C054,P008,Tienda fisica,Confirmada,4,84.78,0.0,47.16,3.97
V04948,2024-08-27,C043,P002,Tienda fisica,Confirmada,6,456.36,0.1,271.74,1.28
V03970,2025-11-29,C022,P006,Tienda fisica,Confirmada,5,68.05,0.0,38.56,1.45
V01514,2025-04-22,C035,P010,E-commerce,Confirmada,2,36.4,0.05,19.25,16.57
V03563,2025-09-12,C009,P005,Tienda fisica,Confirmada,7,101.33,0.0,52.57,0.4
V01017,2024-07-19,C009,P010,Tienda fisica,Confirmada,2,35.4,0.0,17.69,1.36
V04708,2024-07-20,C038,P003,E-commerce,Confirmada,4,1637.79,0.15,1139.55,23.79
V04898,2024-07-21,C016,P003,E-commerce,Confirmada,4,1654.31,0.1,1114.67,35.92
V02642,2025-09-19,C055,P009,Tienda fisica,Confirmada,3,136.35,0.0,82.68,0.77
V00688,2025-11-29,C056,P004,E-commerce,Confirmada,5,29.14,0.05,14.6,28.23
V03876,2025-02-01,C015,P003,E-commerce,Confirmada,1,1785.92,0.08,1195.49,24.2
V01571,2025-12-02,C054,P010,Tienda fisica,Confirmada,  3 ,  37.24 ,0.0,19.73,  0.95 
V03916,2024-11-12,C006,P002,E-commerce,Confirmada,10,445.96,0.1,268.16,46.39
V03058,2024-06-04,C025,P008,E-commerce,Confirmada,2,84.82,0.0,48.12,24.48
V04503,2025-06-18,C010,P008,E-commerce,Confirmada,6,90.62,0.05,52.28,33.19
V02873,2025-04-05,C050,P010,Tienda fisica,Confirmada,2,36.73,0.0,19.27,2.88
V00046,2025-05-24,C024,P005,Tienda fisica,Confirmada,9,103.2,0.1,51.67,1.75
V00006,2025-11-22,C055,P009,E-commerce,Confirmada,3,136.23,0.0,83.77,25.97
V01346,2025-04-25,C021,P010,E-commerce,Confirmada,4,36.76,0.0,19.71,21.62
V00230,2024-08-14,C026,P004,Tienda fisica,Confirmada,9,28.64,0.0,13.42,2.37
V04673,2024-11-27,C030,P006,E-commerce,Confirmada,5,66.7,0.0,36.01,33.83
V04557,2025-06-16,C021,P009,E-commerce,Confirmada,4,140.32,0.0,83.57,32.0
V02358,2025-10-22,C051,P004,E-commerce,Confirmada,7,30.22,0.08,14.6,34.98
V01293,2024-08-17,C002,P010,Tienda fisica,Confirmada,7,34.35,0.0,18.07,0.42
V01572,2024-08-30,C035,P005,Tienda fisica,Confirmada,7,94.89,0.0,47.66,0.97
V01543,2025-10-01,C053,P005,Tienda fisica,Confirmada,6,99.75,0.0,52.7,2.82
V01656,2024-03-05,C032,P010,E-commerce,Confirmada,1,35.85,0.05,17.84,12.12
V03426,2024-05-14,C008,P001,Tienda fisica,Confirmada,1,1193.66,0.0,729.86,1.18
V05180,2024-04-04,C045,P004,Tienda fisica,Confirmada,  8 ,  27.95 ,0.0,13.53,  3.04 
V03908,2024-03-02,C036,P001,Tienda fisica,Confirmada,1,1203.94,0.0,748.72,1.14
V04873,2024-08-07,C045,P006,Tienda fisica,Confirmada,8,65.57,0.0,35.63,2.58
V05201,2024-07-25,C016,P008,Tienda fisica,Anulada,3,86.03,0.0,48.36,0.29
V01152,2025-12-08,C057,P008,Tienda fisica,Confirmada,2,89.73,0.0,52.8,3.74
V02379,2025-10-08,C009,P005,E-commerce,Confirmada,3,99.79,0.05,51.3,20.54
V03867,2024-10-13,C020,P004,Tienda fisica,Confirmada,5,28.37,0.0,13.24,1.76
V02855,2025-09-09,C036,P002,E-commerce,Confirmada,1,488.77,0.0,296.24,23.47
V01990,2025-10-15,C041,P010,Tienda fisica,Confirmada,3,38.04,0.0,19.68,1.55
V05049,2025-04-28,C045,P001,Tienda fisica,Confirmada,5,1266.02,0.0,806.25,0.16
V00267,2025-03-18,C018,P005,Tienda fisica,Confirmada,8,101.86,0.0,52.57,1.29
V03498,2024-11-30,C041,P007,Tienda fisica,Confirmada,1,123.32,0.0,64.34,0.77
V04707,2025-08-25,C036,P004,Tienda fisica,Confirmada,7,30.0,0.0,14.72,3.75
V04385,2025-07-01,C020,P007,Tienda fisica,Confirmada,4,128.06,0.0,68.97,3.52
V00588,2025-05-22,C011,P010,Tienda fisica,Confirmada,1,36.93,0.0,19.28,0.48
V01862,2024-11-24,C043,P004,Tienda fisica,Confirmada,9,28.37,0.1,13.52,3.63
V02715,2025-10-31,C021,P002,E-commerce,Confirmada,4,471.51,0.08,295.4,25.55
V00143,2025-12-12,C002,P005,Tienda fisica,Confirmada,  5 ,  100.2 ,0.0,51.43,  1.41 
V02691,2025-08-24,C017,P006,Tienda fisica,Confirmada,5,67.92,0.0,38.83,2.02
V02866,2025-01-10,C046,P002,E-commerce,Confirmada,1,481.61,0.05,290.22,28.2
V03175,2025-08-15,C037,P005,E-commerce,Confirmada,5,100.43,0.0,52.33,29.39
V02104,2024-02-24,C046,P001,E-commerce,Confirmada,3,1234.55,0.08,752.15,19.04
V04119,2025-03-30,C035,P005,Tienda fisica,Confirmada,2,99.8,0.0,51.91,0.91
V03829,2024-04-17,C013,P006,E-commerce,Confirmada,7,66.63,0.08,35.93,34.46
V02521,2025-04-26,C051,P006,Tienda fisica,Confirmada,7,70.34,0.0,38.68,2.58
V04698,2025-11-29,C008,P008,Tienda fisica,Confirmada,4,89.03,0.0,51.17,0.28
V03942,2024-10-04,C054,P004,Tienda fisica,Confirmada,3,27.6,0.0,13.52,2.62
V03676,2025-09-16,C010,P001,Tienda fisica,Confirmada,4,1255.64,0.0,818.47,1.19
V00003,2025-12-13,C057,P004,Tienda fisica,Confirmada,5,30.27,0.0,14.42,3.17
V00254,2024-12-28,C010,P007,Tienda fisica,Confirmada,1,119.07,0.0,64.61,1.27
V04323,2024-12-13,C032,P002,Tienda fisica,Confirmada,1,445.44,0.0,271.56,3.6
V04903,2024-07-21,C031,P004,Tienda fisica,Confirmada,8,27.57,0.0,13.47,2.7
V03602,2025-12-15,C026,P004,Tienda fisica,Confirmada,3,30.57,0.0,14.35,0.28
V00501,2024-02-08,C050,P006,Tienda fisica,Confirmada,4,66.2,0.0,35.26,3.53
V05196,2025-12-02,C045,P009,E-commerce,Confirmada,  1 ,  136.27 ,0.0,83.07,  20.05 
V03297,2025-07-11,C040,P007,Tienda fisica,Confirmada,1,124.91,0.0,69.14,3.57
V02708,2025-01-02,C005,P006,E-commerce,Confirmada,1,68.51,0.1,39.17,27.29
V03416,2024-09-22,C025,P008,Tienda fisica,Confirmada,1,85.79,0.1,48.77,1.93
V01020,2024-01-14,C031,P010,Tienda fisica,Confirmada,5,35.87,0.0,17.73,2.23
V05062,2025-12-08,C004,P004,E-commerce,Confirmada,2,29.25,0.15,14.46,24.03
V04577,2025-05-28,C041,P004,E-commerce,Confirmada,5,29.64,0.0,14.59,24.11
V00294,2025-03-20,C015,P004,E-commerce,Confirmada,4,30.05,0.08,14.7,29.0
V04826,2024-03-10,C037,P004,Tienda fisica,Confirmada,9,28.03,0.0,13.55,2.05
V01881,2024-12-04,C049,P005,Tienda fisica,Confirmada,4,96.9,0.0,48.91,1.91
V01566,2024-10-16,C025,P007,E-commerce,Confirmada,3,120.5,0.0,64.45,26.47
V00317,2025-05-09,C049,P006,Tienda fisica,Confirmada,6,68.12,0.0,38.51,3.7
V05233,2024-12-14,C035,P004,E-commerce,Anulada,6,28.46,0.0,13.49,19.84
V04966,2024-05-28,C031,P008,E-commerce,Confirmada,5,85.32,0.08,48.18,28.67
V04268,2025-08-22,C041,P009,Tienda fisica,Confirmada,2,141.79,0.0,83.42,2.86
V02009,2024-11-11,C051,P001,E-commerce,Confirmada,2,1228.13,0.0,754.7,25.14
V00073,2024-07-27,C036,P010,E-commerce,Confirmada,5,35.72,0.1,18.04,29.21
V03445,2025-08-29,C015,P010,E-commerce,Confirmada,  3 ,  36.49 ,0.0,19.29,  21.82 
V02115,2024-10-07,C034,P004,E-commerce,Confirmada,8,28.58,0.0,13.62,25.12
V05156,2025-10-05,C045,P004,Tienda fisica,Confirmada,12,29.9,0.0,14.87,1.14
V04238,2024-05-09,C042,P007,Tienda fisica,Confirmada,1,123.0,0.0,64.84,2.94
V00532,2024-10-04,C005,P004,Tienda fisica,Confirmada,1,28.21,0.0,13.34,2.28
